review_id,author,story,acting,visuals,sounds,values,overall
rw9176024,cesarxpbr,2.0,1.0,2.0,2.0,,2
rw2415893,preppy-3,-2.0,,2.0,-1.0,-2.0,-1
rw2031865,ja_kitty_71,1.0,,2.0,1.0,,1
rw1613386,madeye666,2.0,,2.0,2.0,,2
rw0017074,stamper,0.0,,-1.0,-1.0,0.0,1
rw10388934,powerpufffan,1.0,,1.0,,1.0,1
rw2932917,Robert_duder,-1.0,,2.0,0.0,,0
rw1527061,ndswann,2.0,,2.0,2.0,,2
rw0017066,Cylex,-1.0,,0.0,0.0,1.0,0
rw2451387,LoneWolfAndCub,2.0,,2.0,2.0,2.0,2
rw4563942,jpgranera,-1.0,,1.0,2.0,,1
rw3587188,Groverdox,-1.0,,1.0,-1.0,,-1
rw10392130,birchsaurusart,1.0,,,,1.0,1
rw2155407,Daawesomesquee,1.0,,2.0,2.0,,2
rw0017057,White Dolphin,1.0,,1.0,1.0,,1
rw6389982,ericfersini,-1.0,,2.0,-1.0,,0
rw1744932,dolfin_phlipper,-1.0,1.0,2.0,1.0,0.0,1
rw0017123,CuriosityKilledShawn,-1.0,,1.0,,,1
rw9238097,alainaoboza,2.0,,2.0,2.0,,2
rw5826848,sheldonABC,1.0,,1.0,,1.0,1
rw2656706,gavin-thelordofthefu-48-460297,2.0,2.0,2.0,2.0,,2
rw2059062,jvfunn1,2.0,,,2.0,,2
rw5043354,kyriakostsn,,,,,-1.0,-1
rw1234745,jachimp,2.0,,,,,2
rw6836791,Fernando-Rodrigues,0.0,,-1.0,,1.0,1
rw3337649,livrariaaprendiz,2.0,,2.0,,,2
rw10198217,ratimkheidze,-1.0,,1.0,,,1
rw2739732,breakdownthatfilm-blogspot-com,1.0,2.0,1.0,2.0,,2
rw9936553,oskakalud,0.0,,,1.0,,1
rw0017092,StreepFan126,1.0,,,,,1
rw4786271,ozgekaynak-59215,-2.0,,1.0,,,-1
rw1544803,amandarsleigh,-1.0,,,,-1.0,-1
rw3039622,The_Film_Cricket,1.0,,2.0,,,2
rw9197323,varbrkaka,1.0,,,1.0,0.0,1
rw10393013,criticj,2.0,,,2.0,,2
rw7325275,Spiderboy810,0.0,,1.0,0.0,,1
rw10371902,TheMysteriousReviewer,2.0,,2.0,2.0,,2
rw10274650,EileenZ19,-1.0,,1.0,,,1
rw9188467,kacesilvar,1.0,,,,,1
rw3087604,KineticSeoul,0.0,,1.0,0.0,,0
rw2639857,djansen24,1.0,,2.0,2.0,,2
rw10430944,zgeyer,1.0,,1.0,,-1.0,1
rw10407650,aimenzaied,-2.0,,1.0,,-1.0,-1
rw1940859,tedg,1.0,,2.0,,1.0,2
rw7738128,hastichiniforoush,-2.0,,,,-2.0,-2
rw2974420,MissSimonetta,1.0,,1.0,-1.0,,1
rw9015119,jamesvdm-43176,0.0,,2.0,,-1.0,1
rw2883258,OllieSuave-007,2.0,,2.0,1.0,1.0,2
rw1306291,Incalculacable,-1.0,,,,0.0,0
rw1303145,ellen-rouse,2.0,,2.0,2.0,1.0,2
rw5451490,onkylonky,1.0,,,,,1
rw6540979,TheCorniestLemur,-1.0,0.0,1.0,-1.0,,0
rw3460611,datautisticgamer-74853,1.0,,,1.0,1.0,1
rw0017112,movies2u,2.0,,2.0,,,2
rw4294758,stephenfinlay77,,,,,,0
rw8618200,chrisbeers-94469,2.0,,2.0,1.0,1.0,2
rw9749751,varbrcesar,0.0,1.0,,1.0,,0
rw10088069,axtiik,1.0,,1.0,1.0,1.0,1
rw2543206,thesar-2,-1.0,,1.0,,-1.0,0
rw8110950,ricoswivee,1.0,,,,,2
rw10406100,imdbfan-5247508719,2.0,,2.0,2.0,,2
rw0017114,joseph-51,-1.0,,,,,0
rw5653428,CaptainFluffyCuddles,1.0,,0.0,1.0,,1
rw10315906,roxlovesmemories,1.0,,,2.0,,1
rw8565540,kikiboo_8,1.0,,,2.0,,1
rw3396345,aileencorcoran,0.0,,2.0,1.0,0.0,1
rw9215025,nambrsp,1.0,,2.0,1.0,,1
rw3377758,Foreverisacastironmess123,1.0,1.0,2.0,,1.0,1
rw3243422,planktonrules,1.0,-1.0,1.0,-2.0,,1
rw10021605,miranda-23620,-1.0,,1.0,,-1.0,1
rw5936849,davidftolson-35375,-1.0,,,,-1.0,-1
rw2100741,jenkinsr628,1.0,1.0,2.0,1.0,,1
rw5498136,0U,1.0,,2.0,,,2
rw8752020,Philipp_Flersheim,-1.0,,1.0,,-1.0,0
rw10403224,SelenaHope,-2.0,-2.0,-2.0,,,-2
rw10402293,Ozero_Zaisan,-2.0,-1.0,-2.0,,-2.0,-2
rw10326735,ruy_peixoto,2.0,2.0,2.0,2.0,1.0,2
rw6540051,Pjtaylor-96-138044,-1.0,1.0,1.0,,-1.0,1
rw3444688,neil-476,-1.0,1.0,1.0,-1.0,,0
rw2996602,SnoopyStyle,0.0,,,,1.0,1
rw9927159,kakaeludbr,1.0,,2.0,0.0,,1
rw10026586,twilliams0000,,,2.0,,-1.0,1
rw10199813,jxr-84975,-1.0,,1.0,1.0,-1.0,1
rw8646245,FormerBarneyviewer,-1.0,,1.0,,,-1
rw2726641,lagudafuad,2.0,,,2.0,,2
rw8871332,zombiemockingbird,-1.0,-2.0,,-2.0,,-2
rw2516648,Petey-10,1.0,2.0,,2.0,,2
rw9160976,TBJCSKCNRRQTreviews,0.0,,,,-1.0,1
rw3799118,matthewssilverhammer,1.0,,2.0,,,1
rw10361359,cmtenasitas,1.0,,,,,2
rw3822500,castielfan89,1.0,,,1.0,,1
rw0017090,Beast-5,1.0,,2.0,,,2
rw3027918,utgard14,1.0,,1.0,1.0,,2
rw2540048,Vincentiu,1.0,,,1.0,,1
rw7751848,jace_the_film_guy,0.0,,,,,1
rw2213418,jfgibson73,1.0,,1.0,-1.0,1.0,1
rw8110949,kaipetzbr,,,,1.0,,1
rw1389691,disneyland_one_fan,1.0,,,,,1
rw3454643,morgmatheson,-1.0,,-1.0,,-1.0,-1
rw3447190,stenholmgabriel,1.0,1.0,1.0,1.0,,2
rw9266834,jackthepgl,1.0,,,1.0,1.0,1
rw6946909,pedrocastillo-06208,1.0,,,,,1
rw9676526,kokkinoskitrinosmple,0.0,,,,,1
rw9288101,Theo-99610,1.0,,,,1.0,2
rw2684423,mitchrmp,1.0,,,1.0,,1
rw0017063,eibon04,1.0,,2.0,,,1
rw5708109,stuartvernon,1.0,,,2.0,,1
rw8584873,cooljoemakesvideos,-1.0,,2.0,,,1
rw7738155,Phatheart,-1.0,,1.0,,,1
rw2553475,Rectangular_businessman,1.0,,2.0,,1.0,1
rw8032060,belaelunabr,1.0,,2.0,,,1
rw10403900,jonathanchhangur,-2.0,-2.0,,,,-2
rw9843457,jungkookaesthetic,-2.0,1.0,,1.0,,-2
rw2430604,Criticman12,1.0,,,1.0,,2
rw3245881,llltdesq,2.0,,2.0,1.0,,2
rw10120574,moonspinner55,0.0,,-1.0,1.0,,1
rw4022288,leplatypus,1.0,,2.0,,1.0,1
rw8374833,questl-18592,-1.0,,-1.0,,0.0,0
rw2402939,flyingamon,0.0,,2.0,2.0,,1
rw9815127,Falko_h1,1.0,,1.0,1.0,1.0,1
rw5524602,boiyety,-1.0,-1.0,1.0,-1.0,,-1
rw9968930,sunesh6,0.0,,,1.0,,1
rw8548821,d-56673,-1.0,,,0.0,,-1
rw2489003,nickel2824,1.0,,2.0,,,2
rw4378894,torenkneedler,1.0,,,,,1
rw9907204,crewstenorbone,1.0,,1.0,1.0,,2
rw7932354,chloecameron-57622,0.0,,2.0,,0.0,1
rw2781338,Centaurus3,1.0,,0.0,2.0,,1
rw9589534,polaroidgurl,0.0,,0.0,1.0,-1.0,0
rw10151801,Bluedragon-52876,1.0,,2.0,2.0,,2
rw3388885,grantss,1.0,,2.0,1.0,,2
rw10026273,isabelsvec,-1.0,,,,,0
rw4581316,Maxence_G,0.0,,,,,0
rw2331604,SmileysWorld,1.0,,,,,1
rw3458817,sam_smithreview,1.0,1.0,,,,2
rw0017058,sTAn-69,,,1.0,1.0,-1.0,1
rw8023820,kainavareirobr-70475,1.0,,,1.0,,1
rw3573418,Bored_Dragon,2.0,,2.0,2.0,1.0,2
rw10443183,Hollywood_Yoda,1.0,,2.0,,1.0,1
rw10030433,sebastiansandoval-30819,-1.0,,,1.0,-1.0,0
rw8694882,brunovalsi,1.0,,2.0,1.0,,2
rw2292325,DKosty123,-1.0,,2.0,1.0,-1.0,1
rw6004871,writers_reign,0.0,,,,,1
rw6217565,lainygb,-2.0,,,,-2.0,-2
rw2309525,johnstonjames,1.0,,2.0,,,2
rw2409468,loserfilmnerd,0.0,1.0,2.0,2.0,,1
rw0017094,tfrizzell,2.0,,,2.0,,2
rw3212062,Barev2013,2.0,,2.0,2.0,1.0,2
rw1933241,cool_man-5,1.0,2.0,,,,2
rw2522709,ElMaruecan82,2.0,,2.0,2.0,2.0,2
rw1315649,lee_eisenberg,0.0,,,,-1.0,0
rw9012733,FKDZ,-1.0,,2.0,2.0,,1
rw8724265,jpismyname,,1.0,,1.0,1.0,1
rw0017068,blue-7,,,2.0,,,2
rw2404321,hitchcockthelegend,1.0,-1.0,2.0,1.0,0.0,2
rw10389773,aramis-112-804880,0.0,,,1.0,1.0,1
rw0017108,DJAkin,1.0,,,2.0,,1
rw7798903,TrulyOutrageous99,-2.0,,,,-2.0,-2
rw3006658,cherold,0.0,,2.0,,0.0,1
rw10409646,imdbfan-0066845858,2.0,2.0,2.0,,,2
rw1305286,CKCSWHFFAN,1.0,1.0,1.0,1.0,,2
rw0017071,emdt,,,,,-2.0,-1
rw9626879,AlsExGal,2.0,2.0,2.0,,,2
rw2224353,edwagreen,2.0,2.0,,2.0,,2
rw2379330,nEoFILM,1.0,,1.0,1.0,1.0,1
rw1225734,Catherine_Grace_Zeh,1.0,2.0,1.0,,,1
rw0017100,allie1962,1.0,,,,1.0,1
rw9730709,AgentPhoenixxx,,,1.0,-1.0,,1
rw8673120,Prince-P,1.0,,,1.0,,1
rw2795353,rachaelallison2,2.0,,,,,2
rw3652565,colm-hearne365,1.0,,1.0,1.0,1.0,1
rw3153002,TopBrim,1.0,,2.0,,,1
rw10013115,snowfre,2.0,2.0,2.0,,,2
rw0017086,Shannon-32,2.0,2.0,,2.0,,2
rw10408929,margarettekristahreyes,1.0,,-1.0,1.0,,1
rw1993058,Undead_Master,2.0,,2.0,,,2
rw3455174,anaconda-40658,1.0,1.0,2.0,,1.0,1
rw0017062,anyababe,1.0,,1.0,1.0,,1
rw1904592,Boba_Fett1138,-1.0,,2.0,1.0,,1
rw9180945,HollisWoods,1.0,,1.0,1.0,1.0,1
rw1758201,TheUnknown837-1,0.0,,-1.0,,1.0,1
rw3694372,davispittman,1.0,,2.0,1.0,,2
rw3773551,Animany94,-1.0,1.0,2.0,,,1
rw1742193,ackstasis,2.0,,2.0,,,2
rw3039728,Tera-Jones,1.0,,,,1.0,2
rw2170530,bkoganbing,1.0,1.0,,2.0,,2
rw5735065,mike48128,1.0,,0.0,1.0,,1
rw3247905,Vartiainen,0.0,,,,,1
rw8477539,timrilounsbury,1.0,,2.0,2.0,1.0,2
rw2456457,classicsoncall,-1.0,0.0,,,,0
rw10436421,MovieWitch-2,0.0,1.0,,,,1
rw7351573,peterafflek,-1.0,1.0,1.0,2.0,,1
rw4417910,nkenobi,,,1.0,2.0,,1
rw5758336,r96sk,1.0,2.0,2.0,1.0,,2
rw2353058,blanbrn,0.0,1.0,,,,0
rw10368419,jared-25331,1.0,2.0,1.0,,1.0,2
rw10433827,Apireon,-1.0,1.0,1.0,,-1.0,1
rw2925160,msw50,1.0,,2.0,2.0,,2
rw1939216,joliefille411,-1.0,-1.0,1.0,,,1
rw1708685,Beta_Gallinger,1.0,0.0,,-1.0,,1
rw9102627,stevenjlowe82,-1.0,,2.0,,,1
rw8860200,Small-Movie-Critic1999,1.0,,1.0,,,1
rw9104068,Tweekums,1.0,,1.0,1.0,,1
rw8298591,ecg-prime,2.0,,,,2.0,2
rw10205284,dehezanatalia,1.0,,2.0,2.0,,1
rw10307473,61215kiki,1.0,,2.0,1.0,1.0,1
rw6047278,wjefferyholt,2.0,,2.0,,,2
rw8532945,timleesongs,1.0,,2.0,,,1
rw10004121,gkeith_1,1.0,,2.0,1.0,1.0,2
rw7986333,kainaspbr,0.0,,,1.0,,1
rw4171531,Kingslaay,1.0,,,,,1
rw0017081,Jeremy Bristol,-1.0,,2.0,0.0,,1
rw10193360,StudentYu,1.0,,2.0,,,1
rw10194276,alanarellano-06391,1.0,,2.0,2.0,,1
rw6021553,whovian-49939,,,2.0,,,2
rw8003883,arthur_tafero,1.0,,,,,1
rw5410873,tobybunning,1.0,1.0,1.0,,,2
rw3083012,thomas2193,1.0,,2.0,,,1
rw2918275,AaronCapenBanner,0.0,,2.0,,,1
rw0017056,muirino,2.0,,2.0,,,2
rw0017051,Legos,2.0,,2.0,2.0,,2
rw2955664,beegirll,,,,,0.0,0
rw0017106,mpofarrell,2.0,,2.0,2.0,,2
rw0017065,EmperorNortonII,1.0,,1.0,,,1
rw1188618,The_Light_Triton,1.0,,,,0.0,2
rw0017070,GuyCC,1.0,,2.0,2.0,,2
rw1018946,Josh20,-1.0,,2.0,2.0,0.0,1
rw9443843,simonabiancaa,2.0,,2.0,2.0,2.0,2
rw3115848,AntonFokker,1.0,1.0,2.0,1.0,,2
rw0017055,nunval,2.0,,2.0,2.0,,2
rw9479033,springfieldrental,2.0,2.0,1.0,1.0,2.0,2
rw0017098,bix171,0.0,,1.0,,1.0,1
rw1244061,bmbdsm,2.0,,2.0,2.0,,2
rw0017061,MovieFan983,2.0,,2.0,,,2
rw3727910,orraaron,,,2.0,,,2
rw0017109,NewEnglandPat,2.0,,,,,2
rw1619965,FiendishDramaturgy,1.0,,2.0,,,2
rw0017054,supercooljr,1.0,,,,1.0,2
rw9564167,glenaobrien,-1.0,-1.0,,1.0,-1.0,0
rw0017078,jon_bon_jovi,1.0,,-1.0,,,1
rw3022176,rbn_lrk-1,1.0,,,1.0,,1
rw1185939,ctrout,2.0,,,,,2
rw1261044,fanga92002,1.0,,,,0.0,1
rw0017053,Spleen,0.0,,1.0,,,1
rw0017119,The_Movie_Cat,,1.0,1.0,1.0,0.0,1
rw6802867,meydiana-65242,1.0,,,,,1
rw0017064,fjhuerta-2,1.0,2.0,2.0,2.0,,2
rw9559171,jackdylan-02912,0.0,,,,1.0,1
rw0017075,anton-6,2.0,,,2.0,,2
rw1649116,ian-1211,0.0,,,,,1
rw9335429,jordondave-28085,0.0,,,,,0
rw7117616,martin-fennell,0.0,,1.0,,,1
rw8757517,wittkecmission,-1.0,,2.0,,,1
rw2413422,robyn-710-767167,0.0,,,,,1
rw0017080,BatStarIndyFreak,1.0,,-1.0,,,1
rw0017067,Dword,2.0,,,,2.0,2
rw1445975,ceara_39,2.0,,,,,2
rw0017110,jhc43,2.0,,,,,2
rw0017076,goodellaa,,,,,,2
rw6577400,stephenchase-63504,,,,,,1
rw6175032,snoozejonc,-1.0,,2.0,,-1.0,1
rw8857062,seruanyre,2.0,,2.0,2.0,,2
rw2840727,pelicansmailbox-742-14343,1.0,,,,,1
rw9595551,Bernie4444,1.0,,2.0,-1.0,,1
rw1434171,sethn172,2.0,,,,,2
rw3187761,gavin6942,0.0,-1.0,-1.0,-1.0,1.0,1
rw0017113,king_jack_the_wicked,2.0,,,1.0,,2
rw4588845,BusaLeLizweBo,1.0,,1.0,1.0,,1
rw10403994,vishankparikh,-2.0,-2.0,-2.0,,,-2
rw9441361,barry-ahlers,1.0,,1.0,,0.0,1
rw1000284,love_nalian,1.0,,,,,1
rw10151686,RevanMandalore2025,1.0,2.0,1.0,2.0,1.0,1
rw0017107,juanignaciosupremo,0.0,,2.0,1.0,,1
rw6589163,iansull,1.0,,-1.0,,,1
rw0017084,Bob-376,1.0,,2.0,1.0,,2
rw5492287,hreed-89565,2.0,,2.0,2.0,,2
rw6109838,xiaoli7377,0.0,,2.0,1.0,,1
rw4195626,FilmRunner,0.0,,2.0,1.0,,1
rw7258482,AnnaPagrati,,,,,,1
rw6723255,messi8605-934-965055,,,,,,2
rw5911739,riadmsh,1.0,,1.0,1.0,,2
rw6381432,belubocesban,,,2.0,,,1
rw6368856,mfellipecampos,2.0,,2.0,2.0,,2
rw7633401,Terryfan,,2.0,2.0,2.0,,2
rw0017082,ben-112,,,2.0,,,2
rw7233816,IonicBreezeMachine,2.0,,2.0,,2.0,2
rw9946795,vonfleissig,0.0,,,1.0,1.0,1
rw5953787,SofiaHedge,1.0,,1.0,,,1
rw7812869,Essex_Rider,,,,,-2.0,-1
rw4381003,bankofmarquis,2.0,,2.0,2.0,,2
rw6167259,Spidenus816,,,,,2.0,2
rw6785159,nikkijoey,1.0,,,2.0,,1
rw6109732,cynthiarosalesxo,1.0,,1.0,,,1
rw10134534,nataliemichelleatkinson,2.0,,2.0,2.0,,2
rw7117896,lanejody,1.0,,2.0,,1.0,1
rw6974007,kelvinselimor,1.0,,1.0,,,1
rw8138796,arielsiere,-2.0,,,,0.0,2
rw7510423,fatcat-73450,0.0,,2.0,,1.0,1
rw3517612,filipemanuelneto,1.0,,-1.0,1.0,,1
rw5737376,cesbanbelubo,2.0,,2.0,,,2
rw4980659,crosswalkx,1.0,,,,,1
rw5897178,mikepoast,1.0,,2.0,,,1
rw5616007,LeonardKniffel,1.0,,1.0,2.0,,1
rw6853631,wmnzr,,,,,0.0,0
rw4377307,julianajackson,1.0,,1.0,,-1.0,1
rw10055111,filmbuff-05706,2.0,1.0,2.0,1.0,1.0,2
rw4976696,dockerykelli,2.0,1.0,,,,2
rw10104294,boyntonbailey,1.0,,2.0,1.0,,2
rw4583001,apararas,2.0,2.0,,2.0,,2
rw9093364,disharma-24131,1.0,,2.0,2.0,1.0,2
rw7492270,vahiiid-01453,,,,,1.0,1
rw6508384,gab-14712,1.0,,2.0,2.0,,1
rw5556255,klauzcezare,,,2.0,,,2
rw3821333,JohnHowardReid,2.0,,2.0,2.0,,2
rw5022326,frankde-jong,1.0,2.0,,,1.0,1
rw9283962,martinpersson97,1.0,2.0,2.0,,,1
rw8719191,mark.waltz,2.0,1.0,1.0,1.0,2.0,2
rw8593773,flaviomarcelo,2.0,,,2.0,,2
rw6652340,jucsetmai,,,0.0,,,0
rw10443294,CherryB-6,0.0,,,,1.0,1
rw6659552,aizbennett,1.0,,0.0,,,1
rw7606213,JoshLingVHS,1.0,,1.0,0.0,,1
rw5793768,briancham1994,1.0,,1.0,1.0,,1
rw9142803,SebastianRatesAnyMovies,1.0,,2.0,2.0,,2
rw7395540,IPyaarCinema,1.0,,,,1.0,1
rw9568875,veinctor,-1.0,,1.0,,1.0,1
rw8980307,stewartb-21209,2.0,,2.0,,2.0,2
rw8770880,MrBooligan,-1.0,,1.0,1.0,1.0,1
rw9249004,nikitacpv,1.0,,1.0,,,1
rw0017096,MovieAddict2016,1.0,,,,1.0,1
rw5471584,alexthegreatish,-1.0,,2.0,2.0,,1
rw5600628,h-80434,1.0,,,,,1
rw2680828,nintendogs03,-1.0,,1.0,,,0
rw8952620,spencerz-51114,2.0,,,,,2
rw9022609,julibufa,1.0,,2.0,1.0,0.0,1
rw9938068,auskooper,1.0,,1.0,,1.0,1
rw5749979,beluboklaban,,,2.0,,,2
rw1356820,kira_chicka,1.0,,,,,1
rw0017087,katsat,2.0,2.0,,2.0,,2
rw9699522,jazlennwilliams,1.0,,2.0,2.0,1.0,1
rw9641680,IceCream-57,1.0,,,1.0,,1
rw8576497,andromaro,-1.0,,-1.0,1.0,,0
rw9539174,flippyfrogman,-1.0,,1.0,1.0,,1
rw0017095,Collinator54,-1.0,,,,,1
rw5667541,like_cc,0.0,,2.0,,0.0,1
rw5049847,klausvareiretisbr,1.0,,1.0,,,1
rw10443831,ambusched94,1.0,,2.0,,,1
rw7404990,ThunderKing6,1.0,,,2.0,,1
rw2013938,long-ford,0.0,,1.0,,,1
rw0017122,themoviekid2006,1.0,1.0,2.0,1.0,,2
rw0017052,flembot,-1.0,,,,-1.0,-1
rw0017079,badbit,,,1.0,1.0,,1
rw0017124,The_Sensitive_One,-2.0,,,,-2.0,-2
rw0017091,Lady Jasmine,1.0,,1.0,,1.0,1
rw5836199,sublimineyes,1.0,,2.0,1.0,-1.0,1
rw0017059,tvking1285,0.0,,1.0,-1.0,,1
rw5268145,Bonnell7,-1.0,,,,0.0,0
rw4056589,paulrkydd,0.0,0.0,1.0,,,0
rw1445766,ccthemovieman-1,0.0,-1.0,1.0,,,1
rw10411537,gnperuti,0.0,1.0,2.0,2.0,,1
rw0017115,travisimo,1.0,,2.0,2.0,,2
rw0017060,Doylenf,1.0,,1.0,2.0,,2
rw1423238,phillindholm,1.0,1.0,2.0,1.0,,2
rw3316539,johanlefourbe,0.0,,1.0,,,1
rw2936982,GamerOfTime,1.0,2.0,2.0,,,1
rw9971740,lhvoliveira,0.0,,1.0,,,1
rw0017116,Smells_Like_Cheese,2.0,,2.0,2.0,,2
rw10407458,mpicoloramos,-2.0,,,,1.0,-1
rw2639109,morphricky,-1.0,,1.0,1.0,,-1
rw0017102,laffinsal,1.0,,1.0,2.0,,2
rw8036847,kaicesarbr-75220,1.0,,,1.0,,1
rw1270282,Lady_Targaryen,1.0,,,,,1
rw10409883,imdbfan-0878339407,2.0,2.0,,2.0,,2
rw2174255,tavm,0.0,1.0,,1.0,,1
rw10439399,lukedaking,-2.0,-2.0,,,-2.0,-2
rw10392322,imdbfan-1897178695,-2.0,-1.0,-2.0,,-1.0,-2
rw10388881,scottgmckenzie,-1.0,-1.0,-2.0,0.0,,-1
rw10402663,rsspjcwh,-1.0,-1.0,-2.0,0.0,,-1
rw10398158,mjnqmrcg,-2.0,-2.0,-1.0,1.0,,-1
rw10389347,sp4wn3r,-2.0,-1.0,-2.0,-1.0,,-2
rw10389412,AA-Jay,-2.0,-2.0,-2.0,,,-2
rw10392504,felicity-fairy,-1.0,,,,-1.0,-1
rw10392030,imdbfan-9161380482,-2.0,,,-1.0,,-2
rw10400457,eimanfarid,-2.0,,-2.0,,,-2
rw10401772,consumer-netherlands,-2.0,-2.0,-2.0,-2.0,,-2
rw10390076,vrabecja,-2.0,-2.0,-2.0,,,-2
rw10390888,iltonysverbel,-2.0,-1.0,-1.0,-1.0,,-2
rw10397641,Sahil55,-2.0,-2.0,-2.0,,,-2
rw10405499,FistoArt,-2.0,,,,,-2
rw10391999,ernestobladins,-1.0,1.0,-2.0,,-1.0,-1
rw10401666,imdbfan-0648695883,-2.0,,-2.0,,,-2
rw10395561,colinohehir,1.0,1.0,,,,1
rw10405273,abdullahkhanniazi-94434,-2.0,-1.0,0.0,,-2.0,-2
rw10400196,Drat1964,,,-1.0,,,-1
rw10401468,imdbfan-4964290220,-2.0,-2.0,-2.0,,,-2
rw10392675,emmakmmorgan,-1.0,-1.0,,,,-1
rw10395799,ZENITHSOE,-2.0,-2.0,-2.0,,,-2
rw10394421,crazy_hetalia_fan,1.0,1.0,1.0,0.0,,1
rw10425688,tishtash1000,0.0,,,1.0,,1
rw10393857,killtheking-47941,-1.0,,-2.0,,-1.0,-1
rw10391236,imdbfan-7763136519,-2.0,-2.0,-2.0,,,-2
rw10422359,TheRedMo,-2.0,-2.0,-2.0,,,-2
rw10391225,Carolyn_Channing,-1.0,-1.0,0.0,-1.0,-1.0,-1
rw10392234,billskag,-2.0,-1.0,-2.0,,,-2
rw10400029,naghmanarshad,-2.0,-2.0,-2.0,,,-2
rw10409727,imdbfan-8620923705,-2.0,-2.0,,,,-2
rw10396346,hense-28625,-2.0,-2.0,,,,-2
rw10394878,rcaito1419,0.0,-1.0,-1.0,1.0,1.0,1
rw10409747,anonymous-60980,-1.0,,-1.0,,-1.0,-2
rw10390887,imdbfan-6349936374,-1.0,1.0,-1.0,1.0,,-1
rw10391287,imdbfan-2746875552,-2.0,-2.0,-2.0,-2.0,,-2
rw10396159,redrachfit,-2.0,0.0,-2.0,-1.0,,-2
rw10395385,bethanyswanson725,0.0,-1.0,1.0,1.0,0.0,1
rw1303218,Hitchcoc,1.0,,,,2.0,2
rw10408845,endracnt,-2.0,-2.0,-2.0,,,-2
rw10408206,aaronsace,-2.0,-1.0,-1.0,-2.0,,-2
rw10397321,lmmmmmmm,-2.0,-1.0,-2.0,,,-2
rw10400963,imdbfan-0805940922,-2.0,-2.0,,,,-1
rw10400984,sasijerbi,-2.0,,,,,-2
rw10393210,melvillek112,-2.0,-2.0,,,-2.0,-2
rw10425437,imdbfan-8925321502,0.0,1.0,1.0,0.0,,1
rw10395527,fishstep,1.0,-1.0,-1.0,-1.0,1.0,1
rw10397492,svpinut,-2.0,-2.0,,0.0,,-2
rw10408118,AuxiAuxi,-1.0,,,,-1.0,-2
rw5580197,drqshadow-reviews,0.0,2.0,0.0,,0.0,0
rw10400846,mdredoyofficial,-2.0,-2.0,-2.0,,,-2
rw10401059,imdbfan-3220364227,-2.0,,,,,-2
rw10417361,imdbfan-2028063002,-2.0,,,,,-2
rw10393057,Filmrecensenten,-2.0,-2.0,1.0,-2.0,,-2
rw10390831,wmurphy-37462,-2.0,-1.0,,,,-2
rw10410328,jojoredfox22-647-782613,1.0,2.0,2.0,1.0,2.0,1
rw10398029,Rodrigo_01,-2.0,-1.0,-2.0,,,-2
rw10403875,geraldblaceri,-2.0,-2.0,-2.0,,,-2
rw10408058,jjeffreym,-2.0,-1.0,,,,-2
rw10397941,imdbfan-8437393605,-2.0,-2.0,-2.0,,,-2
rw10404482,hammoudraghid-97223,,-2.0,,,,-2
rw10400637,Kuks_19,-2.0,-1.0,-2.0,,-2.0,-2
rw10388717,cricketbat,-1.0,-2.0,1.0,-1.0,,-1
